Date,Open,High,Low,Close
11/07/2005,122.39999,122.62,121.85001,122.23
11/08/2005,121.95,122.42,121.78999,122.23
11/09/2005,122.08,122.95,121.86,122.39
11/10/2005,122.34,123.86,121.75,123.34
11/11/2005,123.35001,123.84,122.42999,123.75999
11/14/2005,123.75999,124.02,123.38,123.69
11/15/2005,123.58,124.09,122.86,123.24001
11/16/2005,123.37,123.55,122.98,123.49001
11/17/2005,123.75,124.64999,123.14,124.64
11/18/2005,125.03999,125.756,124.33,125.13
11/21/2005,125.14999,125.91,124.98,125.75999
11/22/2005,125.56,126.52,125.42,126.3
11/23/2005,126.25,127.41,126.21001,127.03
11/25/2005,126.98,127.22,126.81,127.13
11/28/2005,127.25,127.27,126.03999,126.23
11/29/2005,126.64999,126.98,126.09,126.09
11/30/2005,126.16,126.52,125.28999,125.41
12/01/2005,126.02,127.03,125.98,126.69
12/02/2005,126.77,127.08,126.5,126.85001
12/05/2005,126.64,126.73,126.17999,126.58
12/06/2005,127.05,127.74001,126.63,126.82001
12/07/2005,126.78999,126.87,125.67999,126.08
12/08/2005,126.22,126.82001,125.48,126.0
12/09/2005,126.16,126.78,125.82001,126.33
12/12/2005,126.71001,126.86,125.96001,126.45
12/13/2005,126.39999,127.7,126.28999,127.31
12/14/2005,127.19,128.09,127.14,127.81
12/15/2005,127.84,128.0,127.17999,127.44
12/16/2005,127.27,128.57001,126.36,126.36
12/19/2005,126.73,126.87,125.69,125.71001
12/20/2005,125.86,126.59,125.48,125.83
12/21/2005,126.17,126.75999,125.8,126.03
12/22/2005,126.31,126.69,126.08,126.69
12/23/2005,126.78999,126.86,126.42,126.75999
12/27/2005,126.92,127.05,125.38,125.47
12/28/2005,125.73,125.99001,125.5,125.75
12/29/2005,125.72,125.96001,125.06,125.19
12/30/2005,124.8,125.06,124.36,124.50999
01/03/2006,125.10001,127.0,124.39,126.7
01/04/2006,126.86,127.49001,126.7,127.3
01/05/2006,127.17,127.59,126.88,127.38
01/06/2006,128.03999,128.58,127.36,128.44
01/09/2006,128.42,129.06,128.38,128.77
01/10/2006,128.39,128.98,128.25999,128.89999
01/11/2006,129.02,129.44,128.73,129.31
01/12/2006,129.08,129.28,128.44,128.8
01/13/2006,128.57001,128.89999,128.2,128.67999
01/17/2006,128.2,128.42,127.81,128.33
01/18/2006,127.58,128.89999,127.16,127.82001
01/19/2006,128.09,128.77,127.81,128.31
01/20/2006,128.28,128.31,125.97,125.97
01/23/2006,126.21001,126.82001,126.13,126.42
01/24/2006,126.63,127.14999,126.42,126.55
